Campaign Shortname;Campaign Longname;Description;Description - DRAFT;NASA Earth Science Focus Areas;Scientific Objective Focus Phenomena;Region of Campaign Description;Campaign Spatial Bounds (N,S,E,W lat/lon);Season(s) of Study;Campaign Start Date (date of first deployment start);Campaign End Date (date of last deployment end);Number of Deployments;Significant Events;Funding Agency;NASA Funding Program;Responsible NASA Funding Program Lead;Responsible NASA Campaign or Project Lead;Data Manager/ Technical Contact (person or NID);Platform Types (limited fields tab);ADMG's Aircraft Shortames (Camp/Plat/Inst tab);Aircraft-based Instruments (consistent w/ C/D/P/I tab);Non-Aircraft Platform Types;Non-airborne Instruments;Total Flights;Campaign Geophysical Phenomena Studied (from GCMD variable list);Campaign Geophysical Phenomena UUID - internal 4 digit codes;Campaign DOI;Campaign Logo - Image Name;Campaign Logo - Image Location (URL);Campaign Logo - Image Owner (Should be NASA);Campaign Publication(s);Supported NASA Mission(s);Number of Published Data Products;Campaign Data Total Volume (Gb);Assigned Archive Repository (DAAC);Repository/Primary Website (DAAC homepage);Project/Secondary Website (not a DAAC);Other Campaign Resources;non-NASA-led campaign: NASA was a Significant Participant;Partner Organizations;Partner Website(s);Campaign is Ongoing (True or False);Campaign's GCMD Projects UUID;Campaign notes;Notes/ Notes to the Reviewer;Working;Metadata Collection Completion Date;Checked
FIRE ACE;First (International Satellite Cloud Climatology Project) Regional Experiment, Arctic Cloud Experiment;;"The scientific objectives of FIRE.ACE will be to study impact of Arctic clouds on radiation exchange between surface, atmosphere, and space, and the influence of surface characteristics of sea ice, leads, and ice melt ponds on these clouds. FIRE.ACE will attempt to document, understand, and predict the Arctic cloud-radiation feedbacks, including changes in cloud fraction and vertical distribution, water vapor cloud content, cloud particle concentration and size, and cloud phase as atmospheric temperature and chemical composition change. FIRE.ACE will use the data to focus on improving current climate model simulations of the Arctic climate, especially with respect to clouds and their effects on the surface energy budget. In addition, FIRE.ACE will address a number of scientific questions dealing with radiation, cloud microphysics, and atmospheric chemistry.

The strategy of FIRE.ACE is to use aircraft to take remote and in situ measurements of the Arctic cloud and surface characteristics. The NASA ER-2 will fly far aloft with a suite of remote sensors to remotely infer the cloud and radiative properties of the clouds that form in the vicinity of leads and melt ponds. The University of Washington Convair 580, National Center for Atmospheric Research C-130, and Canada National Research Council Convair 580 aircraft each will fly with a number of in-situ instruments to measure the optical, physical, radiative, and chemical properties of the clouds and radiation directly.";;;Beaufort Sea;;;4/7/1998;7/30/1998;1;;;;;David McDougle, Robert Curran;;Aircraft, In-situ Ground-based Platforms, Model, Satellites;ER-2 - AFRC, Convair 580 - UW, C-130 - NCAR, Convair 580 - NRC;"Large-scale climatology project, designed to improve understanding of carbon and water cycles; coordinating satellite, aircraft, and ground instruments. Use of satellites to measure the cycles 
The first field campaign to include the coupled biosphere–atmosphere as part of a coordinated measurement strategy was the First International Satellite Land Surface Climatology Project (ISLSCP)
Field Experiment [FIFE], with deployments in 1987 and 1989 to the Konza Tallgrass Prairie near Manhattan, KS—see The FIFE and BOREAS Study Areas on pages 8–9—to measure surface properties (e.g., vegetation and vegetation status, soil moisture) and fluxes of heat, moisture, and trace species. The surface flux measurements were used as ground truth for the development and evaluation of algorithms to estimate fluxes from satellite observations. FIFE’87 had four, two-week deployments involving 5 satellites, 10 aircraft, and some 150 people. Researchers returned to Kansas two years later for a second round of experimentation on the Konza Prairie—FIFE’89. Measurement approaches were refined based on the results of FIFE’87 so as to resolve scientific questions that arose during subsequent algorithm development to estimate fluxes from satellites.";Des Groseilliers, FIRE, SHEBA, ARM, Barrow, NOAA Polar Orbiter 12, NOAA Polar Orbiter 14, DMSP F12, DMSP F12, Landsat 6, RESURS, RADARSAT, Earth Probe;;;;;;;;;;;;;ASDC;;;"https://eosweb.larc.nasa.gov/ACEDOCS
https://eosweb.larc.nasa.gov/ACEDOCS/data/PR_Release.doc_1.html
https://eosweb.larc.nasa.gov/ACEDOCS/data/endof_er2_summary/er2b.html";;NSF, ONR, DOE, NOAA, DOD;;;;;;;;
FIRE I - Cirrus;First ISCCP (International Satellite Cloud Climatology Project) Regional Experiments - Cirrus;;1. Characterize the physical structure of cirrus cloud fields and the corresponding structure o] the associated radiative fields and their dependence on conditions in the large-scale meteorological environment. 2. Characterize the fine-scale microphysical radiative, dynamic, and thermodynamic structure of cirrus clouds at various stages of their life cycle as functions of their large scale meteorological environment.;Atmospheric Composition, Weather;;Wisconsin;;;10/13/1986;11/2/1986;1;;;;Robert Curran;Pat Minnis;;Aircraft, In-situ Ground-based Platforms, Satellites;Sabreliner - CSU, ER-2 - AFRC, King Air - NCAR;"Deiced Sensors, Gust Probe, Hygrometer, Icing Rate Detector, Pressure Transducer, Pyranometer, Pyrgeometer
Lidar, Radiance
Gust Probe, Hot-WIre, Hygrometer, Photometer, Platinum Resistance, PMS 2D-C Probe, PMS 2DP Probe, PRT-5, Pyranometer, Pyrgeometer, Radiometer";International Satellite Cloud Climatology Project;Rawinsonde, Lidar, SRB, TOVS;;;;;;;;;;;;ASDC;;;https://eosweb.larc.nasa.gov/project/fire/fire1_cirrus_table;;;N/A;;;;;;;
FIRE I - Marine Stratocumulus;First ISCCP (International Satellite Cloud Climatology Project) Regional Experiments - Marine Stratocumulus;;Observational objectives of the Marine Stratocumulus IFO: 1. Determine the large scale structure of clouds and surrounding meteorological environment. 2. Characterize the fine-scale microphysical, radiative, dynamic, and structure of marine stratocumulus clouds, with emphasis on multiple angular and spectral observations and characterization of the marine stratocumulus life cycle.;Atmospheric Composition, Weather;;Southwestern coast CA;;;6/29/1987;7/20/1987;1;;;;Robert Curran;Pat Minnis;;Aircraft, In-situ Ground-based Platforms;"Electra - NCAR 
ER-2 - AFRC 
C-130 - UKMO";Altimeter, ASASP, Deiced Sensors, Flow Angle Sensors, FSSP, Gust Probe, Hot-Wire, Hygrometer, LIDAR, PMS Probe, Pressure Transducer, PRT-5, PRT-6, Pyranometer, Pyrgeometer, Lidar, Chilled Mirror, FSSP, Hot-Wire, MCRW Refractometer, Platinum Resistance, Pressure Transducer, RT-4, Pyranometer, Pyrgeometer, Radiometer, Wind Sensor;Ceilometer and Cross-chain Loran Atmospheric Sounding System, Ground Stations, International Satellite Cloud Climatology Project, NOAA Wind Profiler;Pyranometer, Pyrgeometer, Wind Sensor, Bugette, Bugeye, FSSP, Pressure Transducer, Psychrometer, Pyranometer, Pyrgeometer, Microwave Radiometer;;;;;;;;;;;;ASDC;;;https://eosweb.larc.nasa.gov/project/fire/fire1_marine_stratocumulus_table;;Colorado State University;N/A;;;;;;;
FIRE II - ASTEX;First ISCCP (International Satellite Cloud Climatology Project) Regional Experiments - Atlantic & Stratocumulus Transition Experiment;;What were the physical processes responsible for the transition from stratocumulus clouds to shallow cumulus clouds? What were the physical processes that are responsible for the selection of cloud type and amount? What were the consequences of the transition and cloud type and amount on the atmosphere and the ocean?;Atmospheric Composition, Weather;;Eastern North Atlantic Ocean;;;7/1/1992;7/28/1992;1;;;;Robert Curran;Pat Minnis;;Aircraft, In-situ Ground-based Platforms, Satellites, In Situ Sea-based Platforms, balloons/rockets;"ER-2 - AFRC 
C-130 - UKMO 
C-131 - UW";Lidar, MAS, Chilled MIrror, FSSP, Gust Probe, Hot-WIre, Hygrometer, Platinum Resistance, PMS 2D-C, PRT-4, Pyranometer, Pyrgeometer, Thermometer, variable capacitance, C2H4 Chemiluminescence, Capacitive sensor, chilled mirror, cloud chamber, FSSP, hot-wire, hygrometer, rms pressure var, platinum resistance, pyranometer, radiometer, reverse flow, Fluorescence filter, IC Filter, GC-FID, IR CO Analyzer, IR CO2 Analyzer, Optical Counter, Spectrometer;Centre de Meteorologie Spatiale, Colorado State University, Meteosat-3, meteosat-4, meteosat-5, NOAA-11, NOAA-12, ground stations, European Centre for Medium-Range Weather Forecasting, ERS-1, International Satellite Cloud Climatology Project, Marine Aerosol gas Exchange, Pennsylvania State University, ARAT FOKKER F-27, drifting buoy, spear buoy, ship, SOFIA;MIR, AVHRR, ceilometer, wind profiler, PRT-6, Campbell model 207 probe, propeller anemometer, pyrgeometer, pyranometer, radar altimeter, microwave radiometer, wind scatterometer, GC-MS, con. density balloon, rawinsonde, radiosonde, humidity sensor, wind sensor, rain gauge, thermistor, thermometer, sonic anemometer, hygrometer, variable capacitance, platinum resistance, optical counter, integrating nephelometer, hot-wire, doppler radar, carbon plate, bolemet radiometer, flow angle sensors, platinum resistance, anemometer, bathymetric chain, thermistor, accelerometer, hydrophone, barometer, tethered balloon;;;;;;;;;;;;ASDC;;;https://eosweb.larc.nasa.gov/project/fire/fire2_astex_table;;;N/A;;;;;;;
FIRE II - Cirrus;First ISCCP (International Satellite Cloud Climatology Project) Regional Experiments - Cirrus;;"Characterize the physical, thermodynamical, and dynamical development of cirrus clouds on the synoptic scale, the mesoscale, the convective/turbulent scale, and the microscale. Characterize relationships among various cirrus cloud optical properties, including, cloud optical depths in the visible, near infrared, and infrared, cloud scattering phase functions, and cloud single-scattering albedos; and the corresponding cloud physical properties, including, particle size, number density, phase, and habit, and cloud height, temperature, and thickness. Improve the capability to utilize surface-based active and passive remote sensing observations for quantitative studies of cirrus clouds.";Atmospheric Composition, Weather;;Southeastern Kansas;;;11/13/1991;12/7/1991;1;;;;Robert Curran;Pat Minnis;;Aircraft, Model, Satellites, In situ ground-based platforms;"Citation - UND 
ER-2 - AFRC 
King Air - NCAR 
Sabreliner - CSU";"Alcohol Condenser, Chemiluminescent, Chilled Mirror, Flow Angle Sensor, Hot-Wire, Icing Rate Detector, Pressure Transducer, Reverse Flow, Temperature Probe, Variable Capacitance, Thermometer, PMS 2D-C Probe, PMS 2D-P Probe, FSSP, PMS 1D-C Probe, PMS 1D-P Probe 
LIDAR, MAS, HIS, 
Gust Probe, Hot-Wire, Hygrometer, Photometer, Platinum Resistance, PMS 2D-C Probe, PMS 2D-P Probe, PRT-5, Pyranometer, Pyrgeometer, Radiometer, PMS 2D-C Probe, PMS 2D-P Probe 
Deiced Sensors, Gust Probe, Hygrometer, Icing Rate Detector, Pressure Transducer, Pyranometer, Pyrgeometer, PMS 2D-C Probe, PMS 2D-P Probe";Ground Stations, Colorado State University, International Satellite Cloud Climatology Project, GOES-7, NOAA-11, NOAA-12, Mesoscale Analysis and Prediction System, NWS Rawinsondes, Portable Automated Mesonet Station;PRT-6, 207 Probe, Pyranometer, Pyrheliometer, Pyrgeometer, Wind Sensor, Wind Profiler, NOAA CO2 Doppler Lidar, Rawinsonde, ETL Doppler Radar, HSRL, VISSR, AVHRR, LARC 8in Lidar, NOAA Wind Profiler, PAMS, RAMAN LIDAR, SKYCAMERA, SIRIS, University of Utah Polarization Diversity, Volume Imaging Lidar;;;;;;;;;;;;ASDC;;;https://eosweb.larc.nasa.gov/project/fire/fire2_cirrus_table;;;N/A;;;;;;;
FIRE III - Arctic Cloud Experiment;First ISCCP (International Satellite Cloud Climatology Project) Regional Experiments - Arctic Cloud Experiment;;"Held in conjunction with the Surface Heat Budget of the Arctic Ocean (SHEBA) Experiment. The FIRE-ACE focused on all aspects of Arctic cloud systems. Provides in situ data for testing satellite, aircraft and surface-based remote sensing analyses and provides initial data, boundary conditions, forcing functions, and test data to support Arctic FIRE
cloud modeling efforts.";Atmospheric Composition, Weather;;Alaska & Arctic Ocean;;;5/4/1998;7/30/1998;1;;;;Robert Curran;Judy Curry/Pat Minnis;;Aircraft, In-situ Ground-based Platforms, In Situ Sea-based Platforms, Rockets/Balloons;ER-2 - AFRC, C-130 - NCAR, Convair 580 - UW;AMPR, MAS, MIR, Continuous Flow Diffusion Chamber, Radiation Measurement System, Integrated Nephelometer, Platinum Resistance, chilled mirror, particle measuring systems, electron nephelometer, radiometer;SHEBA Ship, SHEBA Ground Site, balloons, meteorological tower;solar spectral flux radiometer, thermistor, cup anemometer, compass, actinometereppley precision pyrgeometers;;;;;;;;;;;;ASDC;;;https://eosweb.larc.nasa.gov/project/fire/fire3_ace_table;;;N/A;;;;;;;
GTE - ABLE 1;Global Tropospheric Experiment - Atmospheric Boundary Layer Experiments 1;;The ABLE missions have been designed to study emissions of gases from the biosphere, and the chemical changes that occur as these gases are transported through the boundary layer and into the free troposphere.;Carbon Cycle & Ecosystems, Atmospheric Composition;;Barbados, French Guiana;;;;6/1/1984;1;;;;;;;aircraft, ground-based platforms;NASA Electra;Airborne Differential Absorption Lidar (DIAL), Chemiluminescent and UV Absorption, Mercury Vapor, grab samples-QCM, FSSP, Cryogenic trapped air samples-GC, filter sampler;;;;;;;;;;;;;;ASDC;https://www-gte.larc.nasa.gov/GTE2/missions/Aircraft_Based_Missions/Aircraft_Based_Missions.htm;;https://www-gte.larc.nasa.gov/GTE2/missions/Aircraft_Based_Missions/Aircraft_Based_Missions.htm;;;N/A;;;;"""Data available in hard copy form only"" - from original inventory notes";;;
GTE - ABLE 2A/B;Global Tropospheric Experiment - Atmospheric Boundary Layer Experiments 2;;Obtain a quantitative chemical characterization of the temporal and spatial variability of trace gases and aerosols over the Amazon during the wet season.;Carbon Cycle & Ecosystems, Atmospheric Composition;;Brazilian Amazon Rainforest, Brazil;;;;6/1/1984;2;;;;Robert J. McNeal;R. C. Harriss;;ground-based platforms, balloons;NASA Electra;Airborne Differential Absorption Lidar (DIAL), Traps, Chemiluminescence, Tunable diode laser absorption, Cryogenic trapped air samples-GC, IR Absorption;Ground Sites;;;;;;;;;;;;;ADSC, ORNL;https://www-gte.larc.nasa.gov/GTE2/missions/Aircraft_Based_Missions/Aircraft_Based_Missions.htm;;"https://www-gte.larc.nasa.gov/GTE2/missions/Aircraft_Based_Missions/Aircraft_Based_Missions.htm
Some of the ground samples are non-GTE format
https://daac.ornl.gov/LBA/guides/Pre_LBA_ABLE.html";;Instituto Nacional de Pesquisas Espaciais (INPE) - Brazilian Scientists;N/A;;;;;;;
GTE - ABLE 3A/B;Global Tropospheric Experiment - Atmospheric Boundary Layer Experiments 3;;The ABLE missions have been designed to study emissions of gases from the biosphere, and the chemical changes that occur as these gases are transported through the boundary layer and into the free troposphere.;Carbon Cycle & Ecosystems, Atmospheric Composition;;"Alaska-Barrow, Bethel, Cold Bay;
Canada -Hudson Bay, Schefferville";;;;6/1/1984;2;;;;Robert J. McNeal;R. C. Harriss;;aircraft, ground-based platforms;NASA Electra;Airborne Differential Absorption Lidar (DIAL), Chemiluminescence, Laser induced fluorescence, grab samples-QCM, EC-GC, GC/MS, Forward Active Scattering Spectrometer, DACOM, Lyman-Alpha Hygrometer, DASIBI, IR Carbon Dioxide Analyzer, Mist Chamber/Ion Chromatography;Ground Sites;;;;;;;;;;;;;ASDC;https://www-gte.larc.nasa.gov/GTE2/missions/Aircraft_Based_Missions/Aircraft_Based_Missions.htm;;"ftp://ftp-gte.larc.nasa.gov/pub/ABLE3A/ 
ftp://ftp-gte.larc.nasa.gov/pub/ABLE3B/ 
https://www-gte.larc.nasa.gov/able/able3a_dat.htm
https://www-gte.larc.nasa.gov/able/able3b_dat.htm";;;N/A;;;;;;;
GTE CITE-1A;Chemical Instrument Test and Evaluation;;The CITE projects were designed to validate the instruments developed for the GTE measurements through rigorous intercomparisons under actual field conditions.;Atmospheric Composition;;Wallops Island, VA;;;;7/1/1983;1;;;;;;;aircraft, ground-based platforms;;https://www-gte.larc.nasa.gov/cite/cite1_dat.htm;;;;;;;;;;;;;;ASDC;;;Beck, S. M., et al. (1987), Operational overview of NASA GTE/CITE 1 airborne instrument intercomparisons: Carbon monoxide, nitric oxide, and hydroxyl instrumentation, J. Geophys. Res., 92(D2), 1977–1985, doi:10.1029/JD092iD02p01977.;;;N/A;;;;;;;
GTE CITE-1B;Chemical Instrument Test and Evaluation;;The CITE projects were designed to validate the instruments developed for the GTE measurements through rigorous intercomparisons under actual field conditions. Tested instruments designed to measure CO, NO, and OH.;Atmospheric Composition;;California & Hawaii, Tropical Pacific;;;;11/1/1983;1;;;;;;;aircraft, ground-based platforms;CV-990;"CO: new laser differential absorption system, 2 proven gas chromatographs; NO: experimental laser-induced fluorescence (LIF) system and 2 chemiluminescence (CL) systems; OH: 2 LIF systems (one lidar based, one in situ) and 1 radiochemical tracer technique. https://www-gte.larc.nasa.gov/cite/cite1_dat.htm";;;;;;;;;;;;;;ASDC;ER-2 CRS Data: https://har.gsfc.nasa.gov/index.php?section=45;;Beck, S. M., et al. (1987), Operational overview of NASA GTE/CITE 1 airborne instrument intercomparisons: Carbon monoxide, nitric oxide, and hydroxyl instrumentation, J. Geophys. Res., 92(D2), 1977–1985, doi:10.1029/JD092iD02p01977.;;;N/A;;;;;;;
GTE CITE-1C;Chemical Instrument Test and Evaluation;;The CITE projects were designed to validate the instruments developed for the GTE measurements through rigorous intercomparisons under actual field conditions. Tested instruments designed to measure CO, NO, and OH.;Atmospheric Composition;;California & Southwestern U.S.;;;;4/1/1984;1;;;;;;;aircraft, ground-based platforms;CV-990;"CO: new laser differential absorption system, 2 proven gas chromatographs; NO: experimental laser-induced fluorescence (LIF) system and 2 chemiluminescence (CL) systems; OH: 2 LIF systems (one lidar based, one in situ) and 1 radiochemical tracer technique. https://www-gte.larc.nasa.gov/cite/cite1_dat.htm";;;;;;;;;;;;;;ASDC;https://www-gte.larc.nasa.gov/GTE2/missions/Aircraft_Based_Missions/Aircraft_Based_Missions.htm;;Beck, S. M., et al. (1987), Operational overview of NASA GTE/CITE 1 airborne instrument intercomparisons: Carbon monoxide, nitric oxide, and hydroxyl instrumentation, J. Geophys. Res., 92(D2), 1977–1985, doi:10.1029/JD092iD02p01977.;;;N/A;;;;;;;
GTE CITE-2;Chemical Instrument Test and Evaluation;;The CITE projects were designed to validate the instruments developed for the GTE measurements through rigorous intercomparisons under actual field conditions. CITE-2 obtained new scientific data on nitrogen dioxide (NO2), nitric acid (HNO3), and peroxyacetyl nitrate (PAN) within both clean (Pacific) and polluted (continental) air. Ancillary instruments recorded abundances of other tropospheric chemical species to test models of tropospheric photochemistry.;Atmospheric Composition;;California & Eastern Pacific Ocean;;;;8/1/1986;1;;;;;;;aircraft, ground-based platforms;Electra;4 instruments for NO2 measurements, 3 methods for HNO3 detection, and 2 instruments for PAN studies. https://www-gte.larc.nasa.gov/cite/cite2_dat.htm;;;;;;;;;;;;;;ASDC;https://www-gte.larc.nasa.gov/GTE2/missions/Aircraft_Based_Missions/Aircraft_Based_Missions.htm;;Hoell Jr., J. M., D. L. Albritton, G. L. Gregory, R. J. McNeal, S. M. Beck, R. J. Bendura, and J. W. Drewry(1990), Operational overview of NASA GTE/CITE 2 airborne instrument intercomparisons: Nitrogen dioxide, nitric acid, and peroxyacetyl nitrate, J. Geophys. Res., 95(D7), 10047–10054, doi:10.1029/JD095iD07p10047.;;;N/A;;;;;;;
GTE CITE-3;Chemical Instrument Test and Evaluation;;The CITE projects were designed to validate the instruments developed for the GTE measurements through rigorous intercomparisons under actual field conditions. Devoted to a study of the sulfur cycle in the atmosphere.;Atmospheric Composition;;Wallops Island, VA & Western South Atlantic - off Brazilian coast;;;;September ??, 1989;1;;;;Robert J. McNeal;Douglas Davis;;aircraft, ground-based platforms;Electra;https://www-gte.larc.nasa.gov/cite/cite3_dat.htm;;;;;;;;;;;;;;ASDC;https://www-gte.larc.nasa.gov/GTE2/missions/Aircraft_Based_Missions/Aircraft_Based_Missions.htm;;https://eosweb.larc.nasa.gov/sites/default/files/project/gte/guide/gte_cite3_dataset.pdf;;;N/A;;;;;;;
INTEX-A;Intercontinental Chemical Transport Experiment - Phase A;;Seeks to understand the transport and transformation of gases and aerosols on transcontinental/intercontinental scales and their impact on air quality and climate. A particular focus in this study is to quantify and characterize the inflow and outflow of pollution over North America.;Atmospheric Composition;;North America;;;;;1;;;;James Gleason;Hanwant Singh;;Aircraft;Proteus, DC-8;https://eosweb.larc.nasa.gov/sites/default/files/project/intexa/readme/parameters.pdf, https://espo.nasa.gov/missions/intex-na/content/INTEX-NA_Platforms_-_Airborne;;;;;;;;;;;;;;ASDC;https://www-air.larc.nasa.gov/cgi-bin/ArcView/intexna;;https://espo.nasa.gov/missions/intex-na;;;N/A;;;;;;;
INTEX-B;Intercontinental Chemical Transport Experiment - Phase B;;The first phase of the study in March will focus on Mexico City pollution outflow. The second phase during April and May will focus on Asian pollution outflow. It seeks to understand the transport and transformation of gases and aerosols on transcontinental/intercontinental scales and their impact on air quality and climate.;Atmospheric Composition;;Texas, Hawaii, Alaska, Washington, Mexico;;boreal spring;;;1;;Tropospheric Chemistry and Radiation Science Programs;;Bruce Doddridge, Hal Maring;Hanwant Singh;;;DC-8 - AFRC, C-130, B-200 - LARC, J-31, Duchess aircraft, cessna aircraft;https://eosweb.larc.nasa.gov/sites/default/files/project/intexb/readme/parameters.pdf, https://espo.nasa.gov/intex-b/content/INTEX-B_Airborne_Platforms;;;48;;;;;;;;;;;ASDC;https://www-air.larc.nasa.gov/cgi-bin/ArcView/intexb;;"https://espo.nasa.gov/intex-b
https://airbornescience.nasa.gov/sites/default/files/documents/SSP06Rpt_final.pdf";;NSF, DOE, Mexico, Canada, Germany;NA;;;;;;;
